symbol,variant,kind,blend_mode,dwell,maker,n_bars,n_windows,n_trades_oos,avg_is_sharpe,avg_oos_sharpe,oos_positive_frac,seconds
AAVEUSDT,single:stoch_rsi,stoch_rsi,,,True,8761,12,88,0.0678,-0.033,0.5,0.4
AAVEUSDT,single:supertrend,supertrend,,,True,8761,12,46,-1.0094,0.141,0.75,0.5
AAVEUSDT,sup:official:best_prior:d0,regime_supervisor,best_prior,0,True,8761,12,77,-1.4932,-0.4668,0.3333,32.8
AAVEUSDT,sup:official:best_prior:d3,regime_supervisor,best_prior,3,True,8761,12,75,-1.4634,-0.5254,0.25,30.7
AAVEUSDT,sup:official:contextual_hedge:d0,regime_supervisor,contextual_hedge,0,True,8761,12,912,-0.7633,-0.2146,0.5,42.3
AAVEUSDT,sup:official:contextual_hedge:d3,regime_supervisor,contextual_hedge,3,True,8761,12,912,-0.6624,-0.5214,0.3333,41.1
AAVEUSDT,sup:official:regime_soft:d0,regime_supervisor,regime_soft,0,True,8761,12,157,-1.2984,-0.363,0.3333,38.3
AAVEUSDT,sup:official:regime_soft:d3,regime_supervisor,regime_soft,3,True,8761,12,145,-1.287,-0.3819,0.4167,36.1
AAVEUSDT,sup:split:best_prior:d0,regime_supervisor,best_prior,0,True,8761,12,108,-1.303,-0.5543,0.1667,4.0
AAVEUSDT,sup:split:best_prior:d3,regime_supervisor,best_prior,3,True,8761,12,110,-1.2487,-0.54,0.25,3.7
AAVEUSDT,sup:split:contextual_hedge:d0,regime_supervisor,contextual_hedge,0,True,8761,12,3813,-0.6628,-0.5524,0.1667,15.6
AAVEUSDT,sup:split:contextual_hedge:d3,regime_supervisor,contextual_hedge,3,True,8761,12,3815,-0.811,-0.2067,0.25,15.4
AAVEUSDT,sup:split:regime_soft:d0,regime_supervisor,regime_soft,0,True,8761,12,1040,-1.1538,-0.1705,0.4167,10.9
AAVEUSDT,sup:split:regime_soft:d3,regime_supervisor,regime_soft,3,True,8761,12,1020,-1.0179,-0.1427,0.5833,10.7
ADAUSDT,single:stoch_rsi,stoch_rsi,,,True,8761,12,117,-0.9783,-0.3575,0.4167,0.4
ADAUSDT,single:supertrend,supertrend,,,True,8761,12,53,-1.2869,-0.3189,0.4167,0.5
ADAUSDT,sup:official:best_prior:d0,regime_supervisor,best_prior,0,True,8761,12,79,-1.1818,-0.3215,0.3333,30.2
ADAUSDT,sup:official:best_prior:d3,regime_supervisor,best_prior,3,True,8761,12,73,-0.9898,-0.1751,0.4167,30.0
ADAUSDT,sup:official:contextual_hedge:d0,regime_supervisor,contextual_hedge,0,True,8761,12,1017,-1.6745,-0.5486,0.25,41.1
ADAUSDT,sup:official:contextual_hedge:d3,regime_supervisor,contextual_hedge,3,True,8761,12,1016,-1.0911,-0.3151,0.4167,42.6
ADAUSDT,sup:official:regime_soft:d0,regime_supervisor,regime_soft,0,True,8761,12,149,-1.272,-0.3753,0.3333,36.0
ADAUSDT,sup:official:regime_soft:d3,regime_supervisor,regime_soft,3,True,8761,12,131,-1.1197,-0.2435,0.4167,38.0
ADAUSDT,sup:split:best_prior:d0,regime_supervisor,best_prior,0,True,8761,12,128,-1.1551,-0.6535,0.25,3.7
ADAUSDT,sup:split:best_prior:d3,regime_supervisor,best_prior,3,True,8761,12,113,-0.8558,-0.4377,0.4167,4.0
ADAUSDT,sup:split:contextual_hedge:d0,regime_supervisor,contextual_hedge,0,True,8761,12,3789,-0.6881,-0.5577,0.4167,15.6
ADAUSDT,sup:split:contextual_hedge:d3,regime_supervisor,contextual_hedge,3,True,8761,12,3794,-0.8233,-0.4622,0.3333,15.1
ADAUSDT,sup:split:regime_soft:d0,regime_supervisor,regime_soft,0,True,8761,12,1080,-1.1769,-0.6043,0.3333,10.1
ADAUSDT,sup:split:regime_soft:d3,regime_supervisor,regime_soft,3,True,8761,12,1047,-0.9746,-0.445,0.4167,10.6
AVAXUSDT,single:stoch_rsi,stoch_rsi,,,True,8761,12,107,-0.8983,-0.3271,0.4167,0.4
AVAXUSDT,single:supertrend,supertrend,,,True,8761,12,66,-1.4168,-0.267,0.4167,0.5
AVAXUSDT,sup:official:best_prior:d0,regime_supervisor,best_prior,0,True,8761,12,88,-1.935,-0.3655,0.5833,35.6
AVAXUSDT,sup:official:best_prior:d3,regime_supervisor,best_prior,3,True,8761,12,87,-1.3009,-0.087,0.4167,31.3
AVAXUSDT,sup:official:contextual_hedge:d0,regime_supervisor,contextual_hedge,0,True,8761,12,1111,-0.9915,0.0424,0.5833,45.9
AVAXUSDT,sup:official:contextual_hedge:d3,regime_supervisor,contextual_hedge,3,True,8761,12,1114,-0.5626,-0.3925,0.4167,48.2
AVAXUSDT,sup:official:regime_soft:d0,regime_supervisor,regime_soft,0,True,8761,12,171,-1.7678,-0.35,0.5,38.5
AVAXUSDT,sup:official:regime_soft:d3,regime_supervisor,regime_soft,3,True,8761,12,171,-1.2928,-0.1324,0.5,38.6
AVAXUSDT,sup:split:best_prior:d0,regime_supervisor,best_prior,0,True,8761,12,132,-1.2157,-0.2809,0.5,4.0
AVAXUSDT,sup:split:best_prior:d3,regime_supervisor,best_prior,3,True,8761,12,133,-0.8829,-0.1654,0.5833,3.9
AVAXUSDT,sup:split:contextual_hedge:d0,regime_supervisor,contextual_hedge,0,True,8761,12,3914,0.0908,-0.2595,0.3333,15.4
AVAXUSDT,sup:split:contextual_hedge:d3,regime_supervisor,contextual_hedge,3,True,8761,12,3914,-0.254,-0.0261,0.4167,15.7
AVAXUSDT,sup:split:regime_soft:d0,regime_supervisor,regime_soft,0,True,8761,12,1112,-0.2539,0.0024,0.5833,10.8
AVAXUSDT,sup:split:regime_soft:d3,regime_supervisor,regime_soft,3,True,8761,12,1093,-0.2651,0.0457,0.5,10.6
LINKUSDT,single:stoch_rsi,stoch_rsi,,,True,8761,12,110,-0.5913,-0.3194,0.1667,0.4
LINKUSDT,single:supertrend,supertrend,,,True,8761,12,45,-0.5573,0.1414,0.5,0.5
LINKUSDT,sup:official:best_prior:d0,regime_supervisor,best_prior,0,True,8761,12,69,-0.7616,-0.0812,0.5,28.9
LINKUSDT,sup:official:best_prior:d3,regime_supervisor,best_prior,3,True,8761,12,62,-0.4054,-0.0093,0.5,30.3
LINKUSDT,sup:official:contextual_hedge:d0,regime_supervisor,contextual_hedge,0,True,8761,12,869,-0.101,-0.3223,0.3333,39.2
LINKUSDT,sup:official:contextual_hedge:d3,regime_supervisor,contextual_hedge,3,True,8761,12,867,0.0358,-0.3389,0.4167,40.9
LINKUSDT,sup:official:regime_soft:d0,regime_supervisor,regime_soft,0,True,8761,12,132,-0.7287,-0.0618,0.5,35.4
LINKUSDT,sup:official:regime_soft:d3,regime_supervisor,regime_soft,3,True,8761,12,124,-0.4451,0.0324,0.5833,34.7
LINKUSDT,sup:split:best_prior:d0,regime_supervisor,best_prior,0,True,8761,12,109,-0.4994,-0.1855,0.3333,3.7
LINKUSDT,sup:split:best_prior:d3,regime_supervisor,best_prior,3,True,8761,12,98,-0.3438,-0.0468,0.4167,3.9
LINKUSDT,sup:split:contextual_hedge:d0,regime_supervisor,contextual_hedge,0,True,8761,12,3816,-0.5152,-0.4272,0.3333,14.8
LINKUSDT,sup:split:contextual_hedge:d3,regime_supervisor,contextual_hedge,3,True,8761,12,3816,-0.2155,-0.2534,0.4167,15.7
LINKUSDT,sup:split:regime_soft:d0,regime_supervisor,regime_soft,0,True,8761,12,1039,-0.441,-0.1419,0.4167,10.0
LINKUSDT,sup:split:regime_soft:d3,regime_supervisor,regime_soft,3,True,8761,12,1008,-0.4026,-0.1575,0.4167,9.9
UNIUSDT,single:stoch_rsi,stoch_rsi,,,True,8761,12,100,-0.0747,-0.0223,0.5,0.4
UNIUSDT,single:supertrend,supertrend,,,True,8761,12,48,-0.8583,0.0507,0.5833,0.5
UNIUSDT,sup:official:best_prior:d0,regime_supervisor,best_prior,0,True,8761,12,77,-0.3192,0.1617,0.6667,31.1
UNIUSDT,sup:official:best_prior:d3,regime_supervisor,best_prior,3,True,8761,12,75,-0.4472,-0.0448,0.5,29.9
UNIUSDT,sup:official:contextual_hedge:d0,regime_supervisor,contextual_hedge,0,True,8761,12,1112,-0.4042,-0.325,0.4167,41.8
UNIUSDT,sup:official:contextual_hedge:d3,regime_supervisor,contextual_hedge,3,True,8761,12,1110,-1.2481,-0.2331,0.4167,40.7
UNIUSDT,sup:official:regime_soft:d0,regime_supervisor,regime_soft,0,True,8761,12,141,-0.5033,0.0764,0.5833,36.7
UNIUSDT,sup:official:regime_soft:d3,regime_supervisor,regime_soft,3,True,8761,12,129,-0.588,-0.0802,0.4167,36.1
UNIUSDT,sup:split:best_prior:d0,regime_supervisor,best_prior,0,True,8761,12,115,-0.5296,0.0795,0.5833,2.5
UNIUSDT,sup:split:best_prior:d3,regime_supervisor,best_prior,3,True,8761,12,106,-0.4591,-0.0737,0.5,2.9
UNIUSDT,sup:split:contextual_hedge:d0,regime_supervisor,contextual_hedge,0,True,8761,12,3758,-0.2507,-0.1984,0.25,14.5
UNIUSDT,sup:split:contextual_hedge:d3,regime_supervisor,contextual_hedge,3,True,8761,12,3760,-0.4844,-0.1505,0.4167,13.8
UNIUSDT,sup:split:regime_soft:d0,regime_supervisor,regime_soft,0,True,8761,12,1021,-0.5283,0.0351,0.5,8.8
UNIUSDT,sup:split:regime_soft:d3,regime_supervisor,regime_soft,3,True,8761,12,999,-0.5811,-0.054,0.4167,8.8
XRPUSDT,single:stoch_rsi,stoch_rsi,,,True,8761,12,123,-1.0189,-0.6527,0.25,0.4
XRPUSDT,single:supertrend,supertrend,,,True,8761,12,53,0.0684,0.0908,0.5,0.5
XRPUSDT,sup:official:best_prior:d0,regime_supervisor,best_prior,0,True,8761,12,99,-0.8582,-0.3683,0.25,32.4
XRPUSDT,sup:official:best_prior:d3,regime_supervisor,best_prior,3,True,8761,12,83,-0.4565,-0.3857,0.25,34.4
