symbol,variant,kind,blend_mode,dwell,maker,n_bars,n_windows,n_trades_oos,avg_is_sharpe,avg_oos_sharpe,oos_positive_frac,seconds
AAVEUSDT,sup:official:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,75,-1.4634,-0.5254,0.25,32.7
AVAXUSDT,sup:official:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,87,-1.3009,-0.087,0.4167,30.9
LINKUSDT,sup:official:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,62,-0.4054,-0.0093,0.5,30.0
UNIUSDT,sup:official:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,75,-0.4472,-0.0448,0.5,30.5
XRPUSDT,sup:official:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,83,-0.4565,-0.3857,0.25,30.8
AAVEUSDT,sup:official:best_prior:d3:both,regime_supervisor,best_prior,3,True,8761,12,44,-2.0286,-0.6119,0.1667,31.9
AVAXUSDT,sup:official:best_prior:d3:both,regime_supervisor,best_prior,3,True,8761,12,50,-1.8198,-0.5521,0.25,30.0
LINKUSDT,sup:official:best_prior:d3:both,regime_supervisor,best_prior,3,True,8761,12,45,-0.7278,-0.2786,0.5833,28.8
UNIUSDT,sup:official:best_prior:d3:both,regime_supervisor,best_prior,3,True,8761,12,43,-0.9626,-0.0797,0.5,29.5
XRPUSDT,sup:official:best_prior:d3:both,regime_supervisor,best_prior,3,True,8761,12,50,-1.2758,-0.8007,0.25,32.7
AAVEUSDT,sup:official:best_prior:d3:tdg,regime_supervisor,best_prior,3,True,8761,12,44,-1.9334,-0.6507,0.1667,29.6
AVAXUSDT,sup:official:best_prior:d3:tdg,regime_supervisor,best_prior,3,True,8761,12,50,-1.8011,-0.3425,0.3333,29.5
LINKUSDT,sup:official:best_prior:d3:tdg,regime_supervisor,best_prior,3,True,8761,12,45,-0.8674,-0.1637,0.5833,29.1
UNIUSDT,sup:official:best_prior:d3:tdg,regime_supervisor,best_prior,3,True,8761,12,43,-0.912,-0.1218,0.5,28.7
XRPUSDT,sup:official:best_prior:d3:tdg,regime_supervisor,best_prior,3,True,8761,12,52,-1.6111,-0.8569,0.25,31.0
AAVEUSDT,sup:official:best_prior:d3:vhv,regime_supervisor,best_prior,3,True,8761,12,72,-1.7626,-0.5033,0.25,30.0
AVAXUSDT,sup:official:best_prior:d3:vhv,regime_supervisor,best_prior,3,True,8761,12,82,-1.4132,-0.2618,0.4167,29.6
LINKUSDT,sup:official:best_prior:d3:vhv,regime_supervisor,best_prior,3,True,8761,12,61,-0.515,-0.1059,0.5833,29.0
UNIUSDT,sup:official:best_prior:d3:vhv,regime_supervisor,best_prior,3,True,8761,12,73,-0.3768,0.0453,0.5,31.4
XRPUSDT,sup:official:best_prior:d3:vhv,regime_supervisor,best_prior,3,True,8761,12,80,-0.5557,-0.3033,0.3333,32.1
AAVEUSDT,sup:official:regime_soft:d3:base,regime_supervisor,regime_soft,3,True,8761,12,145,-1.287,-0.3819,0.4167,35.2
AVAXUSDT,sup:official:regime_soft:d3:base,regime_supervisor,regime_soft,3,True,8761,12,171,-1.2928,-0.1324,0.5,35.6
LINKUSDT,sup:official:regime_soft:d3:base,regime_supervisor,regime_soft,3,True,8761,12,124,-0.4451,0.0324,0.5833,35.4
UNIUSDT,sup:official:regime_soft:d3:base,regime_supervisor,regime_soft,3,True,8761,12,129,-0.588,-0.0802,0.4167,36.0
XRPUSDT,sup:official:regime_soft:d3:base,regime_supervisor,regime_soft,3,True,8761,12,155,-0.3191,-0.3202,0.3333,41.3
AAVEUSDT,sup:official:regime_soft:d3:both,regime_supervisor,regime_soft,3,True,8761,12,96,-1.987,-0.4543,0.25,36.4
AVAXUSDT,sup:official:regime_soft:d3:both,regime_supervisor,regime_soft,3,True,8761,12,121,-1.937,-0.6562,0.25,39.0
LINKUSDT,sup:official:regime_soft:d3:both,regime_supervisor,regime_soft,3,True,8761,12,100,-0.8103,-0.1982,0.6667,34.6
UNIUSDT,sup:official:regime_soft:d3:both,regime_supervisor,regime_soft,3,True,8761,12,90,-1.0908,-0.122,0.5,36.8
XRPUSDT,sup:official:regime_soft:d3:both,regime_supervisor,regime_soft,3,True,8761,12,112,-1.1883,-0.7023,0.25,37.3
AAVEUSDT,sup:official:regime_soft:d3:tdg,regime_supervisor,regime_soft,3,True,8761,12,111,-1.7997,-0.4894,0.25,37.8
AVAXUSDT,sup:official:regime_soft:d3:tdg,regime_supervisor,regime_soft,3,True,8761,12,132,-1.8024,-0.3903,0.3333,37.5
LINKUSDT,sup:official:regime_soft:d3:tdg,regime_supervisor,regime_soft,3,True,8761,12,107,-0.9843,-0.0516,0.6667,34.5
UNIUSDT,sup:official:regime_soft:d3:tdg,regime_supervisor,regime_soft,3,True,8761,12,96,-1.0762,-0.2157,0.5,38.3
XRPUSDT,sup:official:regime_soft:d3:tdg,regime_supervisor,regime_soft,3,True,8761,12,120,-1.5096,-0.6855,0.3333,43.0
AAVEUSDT,sup:official:regime_soft:d3:vhv,regime_supervisor,regime_soft,3,True,8761,12,126,-1.7117,-0.3715,0.3333,36.6
AVAXUSDT,sup:official:regime_soft:d3:vhv,regime_supervisor,regime_soft,3,True,8761,12,155,-1.5099,-0.3612,0.4167,37.8
LINKUSDT,sup:official:regime_soft:d3:vhv,regime_supervisor,regime_soft,3,True,8761,12,116,-0.5864,-0.1021,0.5833,35.4
UNIUSDT,sup:official:regime_soft:d3:vhv,regime_supervisor,regime_soft,3,True,8761,12,121,-0.4444,0.053,0.4167,38.2
XRPUSDT,sup:official:regime_soft:d3:vhv,regime_supervisor,regime_soft,3,True,8761,12,145,-0.4714,-0.2335,0.3333,43.6
AAVEUSDT,sup:split:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,110,-1.2487,-0.54,0.25,3.9
AVAXUSDT,sup:split:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,133,-0.8829,-0.1654,0.5833,3.7
LINKUSDT,sup:split:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,98,-0.3438,-0.0468,0.4167,3.6
UNIUSDT,sup:split:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,106,-0.4591,-0.0737,0.5,2.8
XRPUSDT,sup:split:best_prior:d3:base,regime_supervisor,best_prior,3,True,8761,12,122,-0.5142,-0.5965,0.1667,3.6
AAVEUSDT,sup:split:best_prior:d3:both,regime_supervisor,best_prior,3,True,8761,12,81,-1.7697,-0.6029,0.25,3.7
