symbol,variant,interval,n_bars,n_windows,n_trades_oos,avg_is_sharpe,avg_oos_sharpe,oos_positive_frac,seconds
AAVEUSDT,single:cross_momentum,1d,1001,3,44,-3.0935,-0.5867,0.0,0.1
AVAXUSDT,single:cross_momentum,1d,1001,3,31,-2.9679,0.708,1.0,0.1
DOGEUSDT,single:cross_momentum,1d,1001,3,27,-1.8231,0.4111,0.3333,0.1
ETHUSDT,single:cross_momentum,1d,1001,3,35,-0.1959,0.5194,0.6667,0.1
LINKUSDT,single:cross_momentum,1d,1001,3,28,-2.2056,0.3498,0.6667,0.1
SOLUSDT,single:cross_momentum,1d,1001,3,33,-2.84,0.7464,1.0,0.1
UNIUSDT,single:cross_momentum,1d,1001,3,35,-2.5902,-0.0519,0.3333,0.1
XRPUSDT,single:cross_momentum,1d,1001,3,31,-2.1231,-0.5711,0.6667,0.1
AAVEUSDT,single:smc_fvg,1d,1001,3,15,-0.3074,-1.1369,0.3333,0.1
AVAXUSDT,single:smc_fvg,1d,1001,3,12,-0.6057,-0.4302,0.3333,0.1
DOGEUSDT,single:smc_fvg,1d,1001,3,16,-0.7971,-1.6329,0.0,0.1
ETHUSDT,single:smc_fvg,1d,1001,3,18,-0.7345,-0.2247,0.3333,0.1
LINKUSDT,single:smc_fvg,1d,1001,3,14,1.0365,-0.8745,0.3333,0.1
SOLUSDT,single:smc_fvg,1d,1001,3,8,0.2515,-0.6292,0.3333,0.1
UNIUSDT,single:smc_fvg,1d,1001,3,19,-1.448,-0.5083,0.3333,0.1
XRPUSDT,single:smc_fvg,1d,1001,3,14,0.8729,-1.0447,0.0,0.1
AAVEUSDT,single:stoch_rsi,1d,1001,3,1,-1.371,-0.3669,0.0,0.1
AVAXUSDT,single:stoch_rsi,1d,1001,3,3,-0.9019,-0.5237,0.0,0.1
DOGEUSDT,single:stoch_rsi,1d,1001,3,3,-1.269,-0.8806,0.0,0.1
ETHUSDT,single:stoch_rsi,1d,1001,3,2,-0.6986,-0.365,0.3333,0.1
LINKUSDT,single:stoch_rsi,1d,1001,3,2,-0.9867,-0.878,0.0,0.1
SOLUSDT,single:stoch_rsi,1d,1001,3,2,0.6114,-0.5712,0.0,0.1
UNIUSDT,single:stoch_rsi,1d,1001,3,4,0.2798,-1.1503,0.0,0.1
XRPUSDT,single:stoch_rsi,1d,1001,3,2,-0.6788,-0.3139,0.0,0.1
AAVEUSDT,single:supertrend:lo,1d,1001,3,2,-2.4096,0.0517,0.3333,0.1
AVAXUSDT,single:supertrend:lo,1d,1001,3,1,-1.1872,-0.2882,0.0,0.1
DOGEUSDT,single:supertrend:lo,1d,1001,3,1,-0.6869,-0.2848,0.0,0.1
ETHUSDT,single:supertrend:lo,1d,1001,3,3,0.1264,-0.2946,0.3333,0.1
LINKUSDT,single:supertrend:lo,1d,1001,3,2,-0.6453,-0.4108,0.3333,0.1
SOLUSDT,single:supertrend:lo,1d,1001,3,1,-1.4763,-0.2616,0.0,0.1
UNIUSDT,single:supertrend:lo,1d,1001,3,4,-0.6984,-1.0818,0.0,0.1
XRPUSDT,single:supertrend:lo,1d,1001,3,2,0.1729,-0.6813,0.0,0.1
AAVEUSDT,single:supertrend:ls,1d,1001,3,6,-4.0741,0.6416,1.0,0.1
AVAXUSDT,single:supertrend:ls,1d,1001,3,5,-1.1459,0.8968,0.6667,0.1
DOGEUSDT,single:supertrend:ls,1d,1001,3,5,-0.2126,0.7032,1.0,0.1
ETHUSDT,single:supertrend:ls,1d,1001,3,7,0.1131,0.808,0.6667,0.1
LINKUSDT,single:supertrend:ls,1d,1001,3,7,-0.4238,0.5857,1.0,0.1
SOLUSDT,single:supertrend:ls,1d,1001,3,4,-0.9971,0.187,0.6667,0.1
UNIUSDT,single:supertrend:ls,1d,1001,3,10,-0.4706,-0.2955,0.3333,0.1
XRPUSDT,single:supertrend:ls,1d,1001,3,7,0.3249,0.45,0.3333,0.1
AAVEUSDT,sup:split:best_prior,1d,1001,3,4,-2.2353,-0.3657,0.3333,1.3
AVAXUSDT,sup:split:best_prior,1d,1001,3,2,-0.3644,-0.0311,0.3333,0.6
DOGEUSDT,sup:split:best_prior,1d,1001,3,4,-1.1669,-1.1404,0.0,0.9
ETHUSDT,sup:split:best_prior,1d,1001,3,7,0.3215,-0.2725,0.6667,0.5
LINKUSDT,sup:split:best_prior,1d,1001,3,1,-0.6379,-0.5627,0.0,1.0
SOLUSDT,sup:split:best_prior,1d,1001,3,3,-1.2275,-1.034,0.0,0.8
UNIUSDT,sup:split:best_prior,1d,1001,3,7,0.6314,-1.1869,0.0,1.0
XRPUSDT,sup:split:best_prior,1d,1001,3,3,0.042,-0.4774,0.0,0.6
AAVEUSDT,sup:split:regime_soft,1d,1001,3,59,-3.5706,-0.4792,0.3333,1.5
AVAXUSDT,sup:split:regime_soft,1d,1001,3,45,-2.6921,0.8284,1.0,1.4
DOGEUSDT,sup:split:regime_soft,1d,1001,3,41,-1.7449,-0.4541,0.0,1.6
ETHUSDT,sup:split:regime_soft,1d,1001,3,54,-0.0462,0.3678,0.6667,1.1
LINKUSDT,sup:split:regime_soft,1d,1001,3,39,-2.2631,0.1827,0.6667,1.5
SOLUSDT,sup:split:regime_soft,1d,1001,3,50,-2.4527,0.538,1.0,1.2
UNIUSDT,sup:split:regime_soft,1d,1001,3,52,-2.2067,-0.4357,0.0,1.5
XRPUSDT,sup:split:regime_soft,1d,1001,3,43,-1.4853,-0.3681,0.6667,1.0
