symbol,variant,interval,n_bars,n_windows,n_trades_oos,avg_is_sharpe,avg_oos_sharpe,oos_positive_frac,seconds
AAVEUSDT,single:cross_momentum,4h,6001,8,313,-3.6827,-1.0016,0.25,0.3
AVAXUSDT,single:cross_momentum,4h,6001,8,355,-4.2241,-1.6613,0.0,0.2
DOGEUSDT,single:cross_momentum,4h,6001,8,424,-7.039,-2.0329,0.25,0.2
ETHUSDT,single:cross_momentum,4h,6001,8,348,0.0035,-0.4268,0.375,0.2
LINKUSDT,single:cross_momentum,4h,6001,8,406,-5.0637,-1.7733,0.0,0.3
SOLUSDT,single:cross_momentum,4h,6001,8,449,-8.6913,-1.8817,0.375,0.3
UNIUSDT,single:cross_momentum,4h,6001,8,309,-3.6458,-1.1041,0.25,0.2
XRPUSDT,single:cross_momentum,4h,6001,8,491,-7.9177,-1.9401,0.125,0.3
AAVEUSDT,single:smc_fvg,4h,6001,8,188,-0.6647,-0.4856,0.375,0.4
AVAXUSDT,single:smc_fvg,4h,6001,8,176,-2.4985,-0.999,0.125,0.4
DOGEUSDT,single:smc_fvg,4h,6001,8,151,-0.5091,-0.2759,0.375,0.3
ETHUSDT,single:smc_fvg,4h,6001,8,190,0.6356,-0.0642,0.5,0.3
LINKUSDT,single:smc_fvg,4h,6001,8,150,-1.4215,-0.5126,0.375,0.4
SOLUSDT,single:smc_fvg,4h,6001,8,123,0.0048,0.015,0.375,0.3
UNIUSDT,single:smc_fvg,4h,6001,8,173,-1.9101,-0.4776,0.375,0.4
XRPUSDT,single:smc_fvg,4h,6001,8,131,-0.1545,-0.3496,0.5,0.3
AAVEUSDT,single:stoch_rsi,4h,6001,8,41,-2.2005,-0.4875,0.375,0.3
AVAXUSDT,single:stoch_rsi,4h,6001,8,31,-1.8076,-0.7452,0.25,0.3
DOGEUSDT,single:stoch_rsi,4h,6001,8,43,-0.0254,-0.2826,0.375,0.3
ETHUSDT,single:stoch_rsi,4h,6001,8,43,-0.0406,0.0626,0.5,0.2
LINKUSDT,single:stoch_rsi,4h,6001,8,36,-0.6932,-0.2442,0.25,0.4
SOLUSDT,single:stoch_rsi,4h,6001,8,45,-0.2722,0.0609,0.625,0.3
UNIUSDT,single:stoch_rsi,4h,6001,8,40,-0.774,0.1788,0.5,0.2
XRPUSDT,single:stoch_rsi,4h,6001,8,51,-0.3085,-0.4302,0.125,0.3
AAVEUSDT,single:supertrend:lo,4h,6001,8,47,-1.0714,-0.6105,0.25,0.3
AVAXUSDT,single:supertrend:lo,4h,6001,8,36,-1.0896,-0.3505,0.25,0.3
DOGEUSDT,single:supertrend:lo,4h,6001,8,20,-0.0144,-0.0186,0.5,0.3
ETHUSDT,single:supertrend:lo,4h,6001,8,36,0.0323,0.0734,0.5,0.3
LINKUSDT,single:supertrend:lo,4h,6001,8,25,0.0628,-0.092,0.375,0.3
SOLUSDT,single:supertrend:lo,4h,6001,8,17,0.0613,0.2054,0.625,0.3
UNIUSDT,single:supertrend:lo,4h,6001,8,36,-1.5558,-0.8036,0.25,0.3
XRPUSDT,single:supertrend:lo,4h,6001,8,24,-0.6919,-0.3544,0.125,0.4
AAVEUSDT,single:supertrend:ls,4h,6001,8,122,-2.2182,-0.818,0.25,0.4
AVAXUSDT,single:supertrend:ls,4h,6001,8,117,-2.839,-1.1798,0.125,0.3
DOGEUSDT,single:supertrend:ls,4h,6001,8,52,-1.1874,-0.216,0.375,0.3
ETHUSDT,single:supertrend:ls,4h,6001,8,85,0.2519,0.0827,0.625,0.3
LINKUSDT,single:supertrend:ls,4h,6001,8,81,-1.4751,-0.6591,0.25,0.3
SOLUSDT,single:supertrend:ls,4h,6001,8,49,-0.5791,-0.1899,0.375,0.3
UNIUSDT,single:supertrend:ls,4h,6001,8,111,-2.8724,-1.1513,0.25,0.3
XRPUSDT,single:supertrend:ls,4h,6001,8,53,-1.3488,-0.2671,0.25,0.4
AAVEUSDT,sup:split:best_prior,4h,6001,8,71,-1.074,-0.6587,0.125,3.2
AVAXUSDT,sup:split:best_prior,4h,6001,8,59,-1.4143,-0.6189,0.25,3.1
DOGEUSDT,sup:split:best_prior,4h,6001,8,77,-0.2147,-0.3312,0.25,2.9
ETHUSDT,sup:split:best_prior,4h,6001,8,76,-0.1224,-0.3115,0.375,2.9
LINKUSDT,sup:split:best_prior,4h,6001,8,57,-0.3853,-0.5502,0.125,2.9
SOLUSDT,sup:split:best_prior,4h,6001,8,55,-0.1369,0.0795,0.5,1.9
UNIUSDT,sup:split:best_prior,4h,6001,8,65,-1.5365,-0.29,0.5,3.3
XRPUSDT,sup:split:best_prior,4h,6001,8,73,0.1251,-0.1712,0.375,3.2
AAVEUSDT,sup:split:regime_soft,4h,6001,8,549,-3.6274,-1.0986,0.25,8.6
AVAXUSDT,sup:split:regime_soft,4h,6001,8,587,-4.4593,-1.6176,0.125,6.5
DOGEUSDT,sup:split:regime_soft,4h,6001,8,742,-5.5612,-1.7733,0.125,6.7
ETHUSDT,sup:split:regime_soft,4h,6001,8,609,-0.0594,-0.2318,0.375,6.4
LINKUSDT,sup:split:regime_soft,4h,6001,8,656,-3.9922,-1.6355,0.0,7.3
SOLUSDT,sup:split:regime_soft,4h,6001,8,734,-5.9802,-1.1993,0.375,5.9
UNIUSDT,sup:split:regime_soft,4h,6001,8,535,-3.5122,-0.9404,0.25,6.9
XRPUSDT,sup:split:regime_soft,4h,6001,8,834,-5.3506,-1.4787,0.125,7.0
