symbol,variant,n_bars,n_windows,n_trades_oos,avg_is_sharpe,avg_oos_sharpe,oos_positive_frac,seconds
AAVEUSDT,single:cross_momentum,1900,8,126,-2.9136,-1.1523,0.125,0.2
AVAXUSDT,single:cross_momentum,1900,8,112,-1.5749,-0.7688,0.25,0.2
DOGEUSDT,single:cross_momentum,1900,8,132,-1.3609,-0.6452,0.25,0.2
ETHUSDT,single:cross_momentum,1900,8,111,-0.4192,-0.2804,0.375,0.2
LINKUSDT,single:cross_momentum,1900,8,141,-2.4168,-1.0365,0.25,0.2
SOLUSDT,single:cross_momentum,1900,8,128,-1.1537,-0.3625,0.375,0.2
UNIUSDT,single:cross_momentum,1900,8,119,-2.1412,-0.9133,0.25,0.2
XRPUSDT,single:cross_momentum,1900,8,146,-1.8231,-0.7155,0.375,0.2
AAVEUSDT,single:supertrend:lo,1900,8,11,-0.6351,-0.3885,0.25,0.2
AVAXUSDT,single:supertrend:lo,1900,8,4,-0.8597,-0.3556,0.125,0.2
DOGEUSDT,single:supertrend:lo,1900,8,3,-0.6063,-0.0273,0.125,0.2
ETHUSDT,single:supertrend:lo,1900,8,4,0.7011,0.1732,0.25,0.2
LINKUSDT,single:supertrend:lo,1900,8,2,-0.6772,-0.0489,0.125,0.2
SOLUSDT,single:supertrend:lo,1900,8,4,-0.9562,-0.2377,0.125,0.2
UNIUSDT,single:supertrend:lo,1900,8,9,-1.0304,-0.1609,0.25,0.2
XRPUSDT,single:supertrend:lo,1900,8,3,-0.0174,0.0363,0.25,0.2
AAVEUSDT,single:supertrend:ls,1900,8,37,-1.835,-0.679,0.25,0.2
AVAXUSDT,single:supertrend:ls,1900,8,21,-0.7715,-0.0207,0.25,0.2
DOGEUSDT,single:supertrend:ls,1900,8,9,-0.8434,-0.1438,0.25,0.2
ETHUSDT,single:supertrend:ls,1900,8,13,0.1925,0.1024,0.375,0.2
LINKUSDT,single:supertrend:ls,1900,8,10,-0.6519,-0.0079,0.375,0.2
SOLUSDT,single:supertrend:ls,1900,8,11,-1.0133,-0.2434,0.25,0.2
UNIUSDT,single:supertrend:ls,1900,8,31,-1.0096,-0.3737,0.25,0.2
XRPUSDT,single:supertrend:ls,1900,8,9,-0.0672,0.1585,0.25,0.2
AAVEUSDT,single:supertrend:ls:mult2,1900,8,56,-1.6954,-0.8998,0.375,0.2
AVAXUSDT,single:supertrend:ls:mult2,1900,8,40,-1.4334,-0.3971,0.375,0.2
DOGEUSDT,single:supertrend:ls:mult2,1900,8,14,-1.0752,0.1496,0.375,0.2
ETHUSDT,single:supertrend:ls:mult2,1900,8,26,-0.417,-0.3399,0.25,0.2
LINKUSDT,single:supertrend:ls:mult2,1900,8,25,-1.4301,0.0062,0.25,0.2
SOLUSDT,single:supertrend:ls:mult2,1900,8,22,-1.2135,-0.2832,0.25,0.2
UNIUSDT,single:supertrend:ls:mult2,1900,8,46,-1.5857,-0.7128,0.25,0.2
XRPUSDT,single:supertrend:ls:mult2,1900,8,13,-0.0919,0.1383,0.375,0.2
