pair,params,regime_scale,n_wf_windows,wf_avg_oos_srh,wf_pos_frac,bt_3y_ret,bt_3y_pf,bt_3y_trades,bt_3y_maxdd,bt_3y_srh,bt_400d_ret,bt_400d_pf,bt_400d_trades,bt_400d_maxdd,seconds
LINKUSDT/BTCUSDT,"z=2.0,exit=0.3,lb=120",False,49,0.01091,0.653,0.863,1.74,275,-0.4397,0.0069,-0.0301,0.96,83,-0.1473,3.7
LINKUSDT/BTCUSDT,"z=2.0,exit=0.3,lb=120",True,49,0.00967,0.612,0.514,1.63,283,-0.2714,0.00601,-0.0041,1.01,85,-0.0735,5.4
LINKUSDT/BTCUSDT,"z=2.0,exit=0.3,lb=240",False,49,0.007,0.592,0.5975,1.99,187,-0.4087,0.00602,-0.0898,0.66,48,-0.1101,3.2
LINKUSDT/BTCUSDT,"z=2.0,exit=0.3,lb=240",True,49,0.00703,0.633,0.5706,1.99,193,-0.2155,0.00644,-0.0618,0.61,48,-0.0739,4.8
XRPUSDT/BTCUSDT,"z=2.0,exit=0.3,lb=480",False,49,0.00395,0.429,-0.6297,0.77,129,-0.6883,-0.00153,0.0349,1.6,29,-0.0804,3.9
XRPUSDT/BTCUSDT,"z=2.0,exit=0.3,lb=480",True,49,0.00504,0.469,-0.3189,0.82,136,-0.3781,-0.00116,0.0177,1.53,29,-0.0407,5.8
LINKUSDT/ETHUSDT,"z=2.0,exit=0.3,lb=240",False,49,0.00378,0.551,-0.1937,1.28,195,-0.4276,0.00208,-0.0589,0.77,49,-0.1055,3.9
LINKUSDT/ETHUSDT,"z=2.0,exit=0.3,lb=240",True,49,0.00475,0.571,0.1155,1.46,204,-0.2536,0.00318,-0.0052,1.01,51,-0.054,6.1
BTCUSDT/ETHUSDT,"z=2.0,exit=0.3,lb=240",False,49,-0.00192,0.469,-0.5086,0.47,182,-0.5457,-0.00534,-0.0224,0.92,48,-0.066,3.7
BTCUSDT/ETHUSDT,"z=2.0,exit=0.3,lb=240",True,49,-0.00257,0.49,-0.2798,0.52,187,-0.3288,-0.00513,-0.0109,0.9,48,-0.0396,5.0
